"genus_species","iucn_authority","iucn_category","mature_age","longevity","lat_range","long_range","diet","trophic_level","mass_g","depth_zone","length_m","depth_num"
"Bathyraja macloviana","(Norman, 1937)","2",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Centroscymnus coelolepis","Barbosa du Bocage &amp; de Brito Capello, 1864","2",0.1,0,113.338899612,340,"carnivorous",4.5,NA,"bathydemersal",0.92,1925
"Lamna nasus","(Bonnaterre, 1788)","3",8.9,47.7,114.5,340,NA,4.5,230000,"pelagic-oceanic",3.5,NA
"Lutjanus cyanopterus","(Cuvier, 1828)","3",5.2,23,66.5837,64,NA,4.2,57000,"reef-associated",1.6,NA
"Sciades parkeri","(Traill, 1832)","3",NA,NA,NA,NA,NA,NA,50000,"demersal",1.9,17.5
"Myliobatis goodei","Garman, 1885","3",2.7,12.6,85.7444572449,32,NA,3.3,NA,"benthopelagic",1.25,NA
"Alopias superciliosus","Lowe, 1841","3",NA,NA,NA,NA,NA,NA,363800,"pelagic-oceanic",4.879849854,365
"Pseudobatos lentiginosus","(Garman, 1880)","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.75,15
"Verasper variegatus","(Temminck &amp; Schlegel, 1846)","3",NA,NA,NA,NA,NA,NA,4000,"demersal",0.6,NA
"Acanthopagrus vagus","Peters, 1852","3",0.1,0,NA,NA,NA,NA,NA,"demersal",0.262,NA
"Polysteganus praeorbitalis","(Günther, 1859)","3",NA,NA,NA,NA,NA,NA,7800,"reef-associated",0.9,60
"Acanthopagrus sivicolus","Akazaki, 1962","3",NA,NA,NA,NA,NA,NA,2500,"demersal",0.45,NA
"Cymatoceps nasutus","(Castelnau, 1861)","3",NA,NA,NA,NA,NA,NA,34400,"demersal",1.5,40.5
"Rhabdosargus globiceps","(Valenciennes, 1830)","3",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.65,NA
"Dentex dentex","(Linnaeus 1758)","3",7.7,37.3,NA,NA,"carnivorous",4.5,14250,"benthopelagic",0.6,32.5
"Acanthurus chronixis","Randall, 1960","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.28,3
"Enneanectes smithi","Lubbock &amp; Edwards, 1981","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.02980000019,28.5
"Scartella springeri","(Bauchot, 1967)","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.08170000076,NA
"Scartella poiti","Rangel, Gasparini &amp; Guimarães, 2004","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.08539999962,0.5
"Scartella nuchifilis","(Valenciennes, 1836)","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.06739999771,NA
"Psilotris boehlkei","Greenfield, 1993","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.04,29
"Tigrigobius redimiculus","(Taylor &amp; Akins, 2007)","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.01700000048,5.5
"Coryphopterus thrix","Böhlke &amp; Robins, 1960","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.05,15
"Coryphopterus eidolon","Böhlke &amp; Robins, 1960","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.06,18
"Coryphopterus tortugae","(Jordan, 1904)","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",NA,NA
"Coryphopterus venezuelae","Cervigón, 1966","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.075,NA
"Coryphopterus lipernes","Böhlke &amp; Robins, 1962","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.03,6.5
"Coryphopterus personatus","(Jordan &amp; Thompson, 1905)","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.04,24.5
"Coryphopterus alloides","Böhlke &amp; Robins, 1960","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.04,NA
"Elacatinus prochilos","(Böhlke &amp; Robins, 1968)","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.04,NA
"Gobiosoma hildebrandi","(Ginsburg, 1939)","3",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Altrichthys curatus","Allen, 1999","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.065,5.5
"Altrichthys azurelineatus","(Fowler &amp; Bean, 1928)","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.065,5.5
"Amblyglyphidodon batunai","Allen, 1995","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.1,6
"Amblyglyphidodon ternatensis","(Bleeker, 1853)","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.1,8
"Rhomboplites aurorubens","(Cuvier, 1829)","3",3.4,14.5,60.1798,68,NA,4.3,3170,"demersal",0.6,NA
"Gobiodon axillaris","De Vis, 1884","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",NA,NA
"Balistes punctatus","Gmelin, 1789","3",NA,NA,NA,NA,NA,NA,1800,"demersal",0.6,100
"Canthigaster marquesensis","Allen &amp; Randall, 1977","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.07099999905,28.5
"Arothron inconditus","Smith, 1958","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.4,NA
"Fundulus jenkinsi","(Evermann, 1892)","3",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.055,NA
"Gobiomorphus hubbsi","(Stokell, 1959)","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.08199999809,NA
"Alosa aestivalis","(Mitchill, 1814)","3",4.1,15.9,21.3,22,NA,3.6,200,"pelagic-neritic",0.4,NA
"Acentrogobius griseus","(Day, 1876)","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.08,NA
"Cynoglossus macrostomus","Norman, 1928","3",1.9,6.4,3,1,NA,3.3,NA,"benthopelagic",0.173,NA
"Totoaba macdonaldi","(Gilbert, 1890)","3",NA,NA,NA,NA,NA,NA,1e+05,"benthopelagic",2,NA
"Carcharhinus limbatus","(Müller &amp; Henle, 1839)","3",NA,NA,NA,NA,"carnivorous",4.4,122750,"reef-associated",3.2,25.5
"Carcharodon carcharias","(Linnaeus, 1758)","3",8.1,50.5,103.775350571,328,"carnivorous",4.5,NA,"pelagic-oceanic",6.4,50.5
"Notorynchus cepedianus","(Péron, 1807)","3",2.4,11.6,99.71144104,277,NA,4.6,107000,"demersal",3,NA
"Alopias vulpinus","(Bonnaterre, 1788)","3",2.8,15.4,102.995000839,328,"carnivorous",4.5,348000,"pelagic-oceanic",5.5,25.5
"Carcharhinus brevipinna","(Müller &amp; Henle, 1839)","3",NA,NA,NA,NA,"carnivorous",4.2,89700,"reef-associated",2,38
"Carcharhinus leucas","(Müller &amp; Henle, 1839)","3",NA,NA,NA,NA,NA,NA,316500,"reef-associated",3.6,76.5
"Negaprion brevirostris","(Poey, 1868)","3",13,73.2,32.75,44,NA,4.4,183700,"reef-associated",3.4,NA
"Sphyrna zygaena","(Linnaeus, 1758)","3",NA,NA,NA,NA,"carnivorous",4.9,4e+05,"pelagic-oceanic",3.8,10.5
"Carcharhinus brachyurus","(Günther, 1870)","3",12,76.6,87.9450016022,276,"carnivorous",4.5,304600,"reef-associated",2.5,180.5
"Benthobatis kreffti","Rincón, Stehmann &amp; Vooren, 2001","3",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.3,473.5
"Galeus mincaronei","Soto, 2001","3",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.4040000153,NA
"Schroederichthys saurisqualus","Soto, 2001","3",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.5820000076,278.5
"Rhinoptera brasiliensis","Müller, 1836","3",NA,NA,NA,NA,NA,NA,NA,"demersal",1.04,10
"Gurgesiella dorsalifera","McEachran &amp; Compagno, 1980","3",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.53,635
"Rhizoprionodon lalandii","(Müller &amp; Henle, 1839)","3",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,36.5
"Rhinoptera bonasus","(Mitchill, 1815)","3",2.1,10.4,66.2423019409,82,NA,3.5,953,"benthopelagic",2.133,NA
"Ginglymostoma cirratum","(Bonnaterre, 1788)","3",NA,NA,NA,NA,NA,NA,109580,"reef-associated",4.3,65
"Diplobatis picta","Palmer, 1950","3",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Rhizoprionodon porosus","(Poey, 1861)","3",NA,NA,NA,NA,NA,NA,7500,"reef-associated",1.13,NA
"Dalatias licha","(Bonnaterre, 1788)","3",0.1,0,111.608398438,359,"carnivorous",4.2,NA,"bathydemersal",1.5,500
"Callorhinchus callorynchus","(Linnaeus, 1758)","3",2.4,10.7,NA,NA,NA,3.2,NA,"demersal",0.892,NA
"Rioraja agassizii","(Müller &amp; Henle, 1841)","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.33,NA
"Hydrolagus matallanasi","Soto &amp; Vooren, 2004","3",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.695,576
"Bathytoshia centroura","(Mitchill, 1815)","3",NA,NA,NA,NA,NA,NA,3e+05,"demersal",3,136.5
"Galaxias argenteus","(Gmelin, 1789)","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.4,NA
"Melanogrammus aeglefinus","(Linnaeus, 1758)","3",5.3,23.4,66.8433,105,NA,4.1,16800,"demersal",1.12,NA
"Latimeria menadoensis","Pouyaud, Wirjoatmodjo, Rachmatika, Tjakrawidjaja, Hadiaty &amp; Hadie, 1999","3",NA,NA,NA,NA,NA,NA,NA,"demersal",1.4,NA
"Gobiesox canidens","(Briggs, 1951)","3",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Bathygobius lineatus","(Jenyns, 1841)","3",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Callionymus comptus","Randall, 1999","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.03029999971,15.5
"Axoclinus multicinctus","Allen &amp; Robertson, 1992","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.03,NA
"Malacoctenus zonogaster","Heller &amp; Snodgrass, 1903","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.085,2.5
"Aioliops brachypterus","Rennis &amp; Hoese, 1987","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.02400000095,6.5
"Lepidonectes corallicola","(Kendall &amp; Radcliffe, 1912)","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.08899999619,6.5
"Holacanthus clarionensis","Gilbert, 1890","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.2,NA
"Makaira nigricans","Lacepède, 1802","3",1.7,9,84.675,351,NA,4.5,636000,"pelagic-oceanic",5,NA
"Kajikia albida","(Poey, 1860)","3",NA,NA,NA,NA,NA,NA,82500,"pelagic-oceanic",3,75
"Ecsenius kurti","Springer, 1988","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.035,7.5
"Paradiancistrus cuyoensis","Schwarzhans, Møller &amp; Nielsen, 2005","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.03599999905,16.5
"Zebrias lucapensis","Seigel &amp; Adamson, 1985","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.08399999619,NA
"Pangasius krempfi","Fang &amp; Chaux, 1949","3",NA,NA,NA,NA,NA,NA,14000,"benthopelagic",1.2,NA
"Myxodagnus sagitta","Myers &amp; Wade, 1946","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.06099999905,32
"Tomicodon vermiculatus","Briggs, 1955","3",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Daector schmitti","Collette, 1968","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.13,17.5
"Xyrichtys victori","Wellington, 1992","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.15,NA
"Chriolepis lepidota","Findley, 1975","3",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Tomicodon absitus","Briggs, 1955","3",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Labrisomus jenkinsi","(Heller &amp; Snodgrass, 1903)","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.13,NA
"Quassiremus evionthas","(Jordan &amp; Bollman, 1890)","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.71,16.5
"Hypsoblennius proteus","(Krejsa, 1960)","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.02640000105,2.5
"Gillellus chathamensis","Dawson, 1977","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.03799999952,8.5
"Xenocys jessiae","Jordan &amp; Bollman, 1890","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.3,10.5
"Eleotrica cableae","Ginsburg, 1933","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.07,NA
"Prionotus teaguei","Briggs, 1956","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.15,NA
"Lepidonectes bimaculatus","Allen &amp; Robertson, 1992","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.06800000191,NA
"Halichoeres salmofasciatus","Allen &amp; Robertson, 2002","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.06289999962,18.5
"Stegastes beebei","(Nichols, 1924)","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.15,3
"Thalassoma virens","Gilbert, 1890","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.3,NA
"Dactyloscopus lacteus","(Myers &amp; Wade, 1946)","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.05,5.5
"Tomicodon bidens","Briggs, 1969","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.02799999952,NA
"Paraclinus fehlmanni","Springer &amp; Trist, 1969","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.0403000021,1
"Halichoeres malpelo","Allen &amp; Robertson, 1992","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.15,NA
"Acanthemblemaria mangognatha","Hastings &amp; Robertson, 1999","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.03089999914,16
"Batrachoides boulengeri","Gilbert &amp; Starks, 1904","3",4.8,18.9,9.37222,17,NA,NA,NA,"demersal",0.362,NA
"Stegastes redemptus","(Heller &amp; Snodgrass, 1903)","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.12,8
"Dialommus fuscus","Gilbert, 1891","3",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Halichoeres discolor","Bussing, 1983","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.15,17
"Acanthemblemaria atrata","Hastings &amp; Robertson, 1999","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.03200000048,18
"Axoclinus rubinoffi","Allen &amp; Robertson, 1992","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.035,1.5
"Rypticus courtenayi","McCarthy 1979","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.19,8.5
"Halichoeres insularis","Allen &amp; Robertson, 1992","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.07,8.5
"Ogilbia cocoensis","Møller, Schwarzhans &amp; Nielsen, 2005","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.03799999952,1.5
"Xenichthys agassizii","Steindachner, 1876","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.2,10.5
"Gillichthys seta","(Ginsburg, 1938)","3",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Myripristis gildi","Greenfield, 1965","3",1,3.3,8.29667,32,NA,NA,NA,"reef-associated",0.214,NA
"Halichoeres adustus","(Gilbert, 1890)","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.125,2
"Lythrypnus gilberti","(Heller &amp; Snodgrass, 1903)","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.045,20.5
"Chriolepis dialepta","Bussing, 1990","3",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Platygillellus rubellulus","(Kendall &amp; Radcliffe, 1912)","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.06199999809,10
"Prionotus miles","Jenyns, 1840","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.25,NA
"Paraletharchus opercularis","(Myers &amp; Wade, 1941)","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.6430000305,NA
"Serranus socorroensis","Allen &amp; Robertson, 1992","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.08,NA
"Starksia galapagensis","Rosenblatt &amp; Taylor, 1971","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.045,14
"Axoclinus cocoensis","Bussing, 1991","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.035,7.5
"Daector reticulata","(Günther, 1864)","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.27,NA
"Acanthemblemaria castroi","Stephens &amp; Hobson, 1966","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.06,12
"Gobiesox woodsi","(Schultz, 1944)","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.04800000191,NA
"Gobioclinus dendriticus","(Reid, 1935)","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.13,12
"Lythrypnus insularis","Bussing, 1990","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.025,10.5
"Stegastes leucorus","(Gilbert, 1892)","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.14,8
"Acanthemblemaria stephensi","Rosenblatt &amp; McCosker, 1988","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.05,9.5
"Labrisomus socorroensis","Hubbs, 1953","3",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Chaenopsis schmitti","Böhlke, 1957","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.08,16.5
"Gobiesox aethus","(Briggs, 1951)","3",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Pseudochromis pesi","Lubbock, 1975","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.1,27.5
"Coris bulbifrons","Randall &amp; Kuiter, 1982","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.6,NA
"Conniella apterygia","Allen, 1983","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.08,35
"Tautoga onitis","(Linnaeus, 1758)","3",NA,NA,NA,NA,NA,NA,11330,"reef-associated",0.91,38
"Bodianus scrofa","(Valenciennes, 1839)","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.51,110
"Achoerodus gouldii","(Richardson, 1843)","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",1.75,35
"Labrus viridis","Linnaeus, 1758","3",NA,NA,NA,NA,"carnivorous",3.9,NA,"reef-associated",0.35,20
"Eptatretus longipinnis","Strahan, 1975","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.6270000076,27
"Myxine garmani","Jordan &amp; Snyder, 1901","3",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.54,650
"Myxine sotoi","Mincarone, 2001","3",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.52,750
"Scomberomorus concolor","(Lockington, 1879)","3",1.9,8,33.3,25,NA,NA,3600,"pelagic-neritic",0.77,NA
"Atherinomorus lineatus","(Günther, 1872)","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.075,NA
"Semicossyphus pulcher","(Ayres, 1854)","3",4.1,18.1,12.167,11,NA,3.6,16000,"reef-associated",0.91,NA
"Gadus morhua","Linnaeus, 1758","3",NA,NA,NA,NA,NA,NA,96000,"benthopelagic",2,300
"Acipenser brevirostrum","Lesueur, 1818","3",14,72.4,5.8,10,NA,3.2,23000,"demersal",1.43,NA
"Alosa immaculata","Bennett, 1835","3",2.3,8.9,1,1,NA,3.9,NA,"pelagic-neritic",0.39,NA
"Sardinella maderensis","(Lowe, 1838)","3",2.2,8.5,45.9833,31,"carnivorous",3.2,927,"pelagic",0.265,27.5
"Sanopus greenfieldorum","Collette, 1983","3",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Hippocampus kuda","Bleeker, 1852","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.3,34
"Hippocampus trimaculatus","Leach, 1814","3",1.1,3.6,48.245,84,NA,3.8,NA,"reef-associated",0.22,NA
"Bolbometopon muricatum","(Valenciennes, 1840)","3",NA,NA,NA,NA,NA,NA,46000,"reef-associated",1.3,20.5
"Vladichthys gloverensis","(Greenfield &amp; Greenfield, 1973)","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.05599999905,24.5
"Lucifuga spelaeotes","Cohen &amp; Robins, 1970","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1089999962,11
"Hippocampus erectus","Perry, 1810","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.19,37
"Corcyrogobius lubbocki","Miller, 1988","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.02,20
"Girella zonata","Günther, 1859","3",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.21,4
"Gobius tetrophthalmus","Brito &amp; Miller, 2001","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.0775,16
"Aetobatus ocellatus","(Kuhl, 1823)","3",2.9,13.8,NA,NA,NA,NA,2e+05,"benthopelagic",1.528,NA
"Mycteroperca fusca","(Lowe, 1838)","3",4.6,20.5,6.4,2,NA,NA,3000,"demersal",0.8,NA
"Pentanemus quinquarius","(Linnaeus, 1758)","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.35,40
"Pseudupeneus prayensis","(Cuvier, 1829)","3",1.5,5.4,51.771,57,"carnivorous",3.2,NA,"demersal",0.3,155
"Trachurus trachurus","(Linnaeus, 1758)","3",NA,NA,NA,NA,"carnivorous",3.7,2000,"pelagic-neritic",0.3,55
"Trachurus indicus","Nekrasov, 1966","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.35,NA
"Gobiodon reticulatus","Playfair, 1867","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.02099999905,NA
"Hyporthodus niveatus","(Valenciennes, 1828)","3",5.1,24.2,78.0209,81,NA,4,30000,"demersal",1.22,NA
"Mycteroperca microlepis","(Goode &amp; Bean, 1879)","3",5.1,23.6,66.97,55,NA,3.6,36460,"reef-associated",1.45,NA
"Thunnus obesus","(Lowe, 1839)","3",4.7,23.2,96.275,339,NA,4.5,210000,"pelagic-oceanic",2.5,NA
"Epinephelus morio","(Valenciennes, 1828)","3",5.3,23.4,78.6333,60,NA,3.5,23000,"reef-associated",1.25,NA
"Hyporthodus flavolimbatus","(Poey, 1865)","3",NA,NA,NA,NA,NA,NA,18640,"demersal",1.15,225
"Mycteroperca interstitialis","(Poey, 1860)","3",10,50.3,70.05,54,NA,4.5,10200,"reef-associated",0.84,NA
"Cynoscion acoupa","(Lacepède, 1801)","3",2.4,10.7,38.6167,41,NA,4,17000,"demersal",1.1,NA
"Coryphopterus hyalinus","Böhlke &amp; Robins, 1962","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.025,30
"Omobranchus mekranensis","(Regan, 1905)","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.06,NA
"Emblemariopsis pricei","Greenfield, 1975","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.02859999895,15.5
"Omobranchus smithi","(Rao, 1974)","3",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Meiacanthus naevius","Smith-Vaniz, 1987","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.03579999924,4
"Parablennius serratolineatus","Bath &amp; Hutchins, 1986","3",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Entomacrodus chapmani","Springer, 1967","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.03900000095,NA
"Medusablennius chani","Springer, 1966","3",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.01539999962,NA
"Ecsenius tigris","Springer, 1988","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.05,NA
"Oman ypsilon","Springer, 1985","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.04,4
"Omobranchus aurosplendidus","(Richardson, 1846)","3",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Dactyloscopus insulatus","Dawson, 1975","3",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Omobranchus hikkaduwensis","Bath, 1983","3",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Praealticus natalis","(Regan, 1909)","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.08,1.5
"Ecsenius randalli","Springer, 1991","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.05,8
"Ecsenius tricolor","Springer &amp; Allen, 2001","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.06,5.5
"Parablennius lodosus","(Smith, 1959)","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.04,NA
"Mimoblennius lineathorax","Fricke, 1999","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.02609999895,1
"Leucoraja fullonica","(Linnaeus, 1758)","3",5.1,24,22.7167015076,35,"carnivorous",3.5,NA,"bathydemersal",0.95,250
"Raja maderensis","Lowe, 1838","3",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.85,NA
"Argyrosomus inodorus","Griffiths & Heemstra, 1995","3",5.1,24,13.5014,14,NA,NA,36300,"benthopelagic",1.45,NA
"Hippocampus histrix","Kaup, 1856","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.17,41.5
"Hippocampus ingens","Girard, 1858","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.3,30
"Hippocampus spinosissimus","Weber, 1913","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.1720000076,NA
"Hippocampus barbouri","Jordan &amp; Richardson, 1908","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.15,9
"Hippocampus mohnikei","Bleeker, 1853","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.08,NA
"Hippocampus algiricus","Kaup, 1856","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1920000076,NA
"Hippocampus kelloggi","Jordan &amp; Snyder, 1901","3",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.28,NA
"Hippocampus patagonicus","Piacentino &amp; Luzzatto, 2004","3",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,NA
"Carcharhinus melanopterus","(Quoy &amp; Gaimard, 1824)","3",NA,NA,NA,NA,"carnivorous",3.9,NA,"reef-associated",1.65,15.5
"Apletodon barbatus","Fricke, Wirtz &amp; Brito, 2010","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.01419999957,10
"Didogobius amicuscaridis","Schliewen &amp; Kovacic, 2008","3",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.03150000095,16
"Gorogobius stevcici","Kovacic &amp; Schliewen, 2008","3",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.03299999952,27.5
"Pseudocaranx chilensis","(Guichenot, 1848)","3",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.65,NA
"Gobiodon erythrospilus","Bleeker, 1875","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.05400000095,4
"Aetomylaeus nichofii","(Bloch &amp; Schneider, 1801)","3",3.2,13.6,77.6666679382,86,NA,3.8,NA,"demersal",0.65,NA
"Aptychotrema timorensis","Last, 2004","3",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.5820000076,NA
"Brachaelurus colcloughi","Ogilby, 1908","3",NA,NA,NA,NA,NA,NA,NA,"demersal",0.76,110.5
"Carcharhinus amblyrhynchoides","(Whitley, 1934)","3",3,14.5,31.47184,68,NA,4.2,NA,"pelagic-neritic",1.61,NA
"Carcharhinus sealei","(Pietschmann, 1913)","3",NA,NA,NA,NA,NA,NA,NA,"reef-associated",1,20
