"genus_species","iucn_authority","iucn_category","lat_range","long_range","trophic_level","mature_age","longevity","diet","mass_g","length_m","depth_num","depth_zone"
"Eridacnis radcliffei","Smith, 1913","1",NA,NA,NA,NA,NA,NA,NA,0.23,418.5,"bathydemersal"
"Cheilotrema fasciatum","Tschudi, 1846","1",NA,NA,NA,NA,NA,NA,NA,0.3609999847,NA,"demersal"
"Dipturus springeri","(Wallace, 1967)","1",NA,NA,NA,NA,NA,NA,NA,1.92,414,"bathydemersal"
"Bertella idiomorpha","Pietsch, 1973","1",NA,NA,NA,NA,NA,"generalist",NA,0.101,NA,"bathydemersal"
"Chaenophryne melanorhabdus","Regan &amp; Trewavas, 1932","1",NA,NA,NA,NA,NA,NA,NA,0.1019999981,NA,"bathypelagic"
"Chirophryne xenolophus","Regan &amp; Trewavas, 1932","1",NA,NA,NA,NA,NA,NA,NA,NA,1315,"bathypelagic"
"Danaphryne nigrifilis","(Regan &amp; Trewavas, 1932)","1",NA,NA,NA,NA,NA,NA,NA,NA,1000,"bathypelagic"
"Dermatias platynogaster","Smith &amp; Radcliffe, 1912","1",NA,NA,NA,NA,NA,NA,NA,NA,945.5,"bathypelagic"
"Dolopichthys karsteni","Leipertz &amp; Pietsch, 1987","1",NA,NA,NA,NA,NA,NA,NA,NA,1175,"bathypelagic"
"Oneirodes bulbosus","Chapman, 1939","1",NA,NA,NA,NA,NA,"piscivorous",450,0.16,NA,"bathypelagic"
"Oneirodes bulbosus","Chapman, 1939","1",NA,NA,NA,NA,NA,"piscivorous",450,0.16,NA,"bathypelagic"
"Oneirodes bulbosus","Chapman, 1939","1",NA,NA,NA,NA,NA,"piscivorous",450,0.16,NA,"bathypelagic"
"Oneirodes flagellifer","(Regan &amp; Trewavas, 1932)","1",NA,NA,NA,NA,NA,NA,NA,0.07,2775,"bathypelagic"
"Oneirodes heteronema","(Regan &amp; Trewavas, 1932)","1",NA,NA,NA,NA,NA,NA,NA,NA,875,"bathypelagic"
"Oneirodes kreffti","Pietsch, 1974","1",NA,NA,NA,NA,NA,NA,NA,0.1110000038,1000,"bathypelagic"
"Oneirodes melanocauda","Bertelsen, 1951","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bathypelagic"
"Oneirodes notius","Pietsch, 1974","1",NA,NA,NA,NA,NA,NA,NA,NA,1350,"bathypelagic"
"Oneirodes pietschi","Ho &amp; Shao, 2004","1",NA,NA,NA,NA,NA,NA,NA,0.1169999981,967.5,"bathypelagic"
"Oneirodes plagionema","Pietsch &amp; Seigel, 1980","1",NA,NA,NA,NA,NA,NA,NA,NA,1750,"bathypelagic"
"Oneirodes rosenblatti","Pietsch, 1974","1",NA,NA,NA,NA,NA,NA,NA,NA,1875,"bathypelagic"
"Oneirodes sabex","Pietsch &amp; Seigel, 1980","1",NA,NA,NA,NA,NA,NA,NA,0.135,1290,"bathypelagic"
"Oneirodes thompsoni","(Schultz, 1934)","1",NA,NA,NA,NA,NA,"piscivorous",400,0.153,NA,"bathypelagic"
"Oneirodes thompsoni","(Schultz, 1934)","1",NA,NA,NA,NA,NA,"piscivorous",400,0.153,NA,"bathypelagic"
"Tyrannophryne pugnax","Regan &amp; Trewavas, 1932","1",NA,NA,NA,NA,NA,NA,NA,NA,1250,"bathypelagic"
"Lasiognathus intermedius","Bertelsen &amp; Pietsch, 1996","1",NA,NA,NA,NA,NA,NA,NA,NA,632.5,"bathypelagic"
"Thaumatichthys binghami","Parr, 1927","1",NA,NA,NA,NA,NA,NA,NA,NA,2150,"bathydemersal"
"Halieutaea coccinea","Alcock, 1889","1",NA,NA,NA,NA,NA,NA,NA,0.16,NA,"bathydemersal"
"Halieutaea fumosa","Alcock, 1894","1",NA,NA,NA,NA,NA,NA,NA,0.14,NA,"demersal"
"Halieutaea indica","Annandale &amp; Jenkins, 1910","1",NA,NA,NA,NA,NA,NA,NA,0.15,NA,"demersal"
"Halieutaea nigra","Alcock, 1891","1",NA,NA,NA,NA,NA,NA,NA,NA,373.5,"bathydemersal"
"Halieutaea retifera","Gilbert 1905","1",NA,NA,NA,NA,NA,NA,NA,0.1019999981,230.5,"bathypelagic"
"Halieutaea stellata","(Vahl, 1797)","1",70.3911,144,NA,4.9,18.9,NA,NA,0.3,NA,NA
"Halieutopsis bathyoreos","Bradbury, 1988","1",NA,NA,NA,NA,NA,NA,NA,0.06260000229,1230,"bathydemersal"
"Halieutopsis galatea","Bradbury, 1988","1",NA,NA,NA,NA,NA,NA,NA,0.05510000229,NA,"bathydemersal"
"Halieutopsis ingerorum","Bradbury, 1988","1",NA,NA,NA,NA,NA,NA,NA,NA,1868,"bathydemersal"
"Halieutopsis margaretae","Ho &amp; Shao, 2007","1",NA,NA,NA,NA,NA,NA,NA,0.06349999905,815,"benthopelagic"
"Halieutopsis simula","(Smith &amp; Radcliffe, 1912)","1",NA,NA,NA,NA,NA,NA,NA,0.0653000021,NA,"bathydemersal"
"Halieutopsis stellifera","(Smith &amp; Radcliffe, 1912)","1",NA,NA,NA,NA,NA,NA,NA,0.07119999886,891,"bathydemersal"
"Halieutopsis vermicularis","Smith &amp; Radcliffe, 1912","1",NA,NA,NA,NA,NA,NA,NA,0.07800000191,766,"bathydemersal"
"Malthopsis annulifera","Tanaka, 1908","1",NA,NA,NA,NA,NA,NA,NA,0.09,340,"bathydemersal"
"Malthopsis asperata","Ho, Roberts &amp; Shao, 2013","1",NA,NA,NA,NA,NA,NA,NA,0.075,426.5,"pelagic-oceanic"
"Malthopsis austrafricana","Ho, 2013","1",NA,NA,NA,NA,NA,NA,NA,0.08399999619,435,"demersal"
"Malthopsis gigas","Ho &amp; Shao, 2010","1",NA,NA,NA,NA,NA,NA,NA,0.1364000034,430,"bathydemersal"
"Malthopsis jordani","Gilbert, 1905","1",NA,NA,NA,NA,NA,NA,NA,0.11,352.5,"bathydemersal"
"Malthopsis kobayashii","Tanaka, 1916","1",NA,NA,NA,NA,NA,NA,NA,0.07980000019,NA,"bathydemersal"
"Malthopsis lutea","Alcock, 1891","1",56.6467,144,NA,2.2,6.8,NA,NA,0.1,NA,NA
"Malthopsis mitrigera","Gilbert &amp; Cramer, 1897","1",NA,NA,NA,NA,NA,NA,NA,0.08,475,"bathydemersal"
"Malthopsis parva","Ho, Roberts &amp; Shao, 2013","1",NA,NA,NA,NA,NA,NA,NA,0.05110000134,548.5,"bathydemersal"
"Malthopsis tiarella","Jordan, 1902","1",NA,NA,NA,NA,NA,NA,NA,0.105,265,"demersal"
"Solocisquama erythrina","(Gilbert, 1905)","1",NA,NA,NA,NA,NA,NA,NA,0.1355000019,829,"bathydemersal"
"Solocisquama stellulata","(Gilbert, 1905)","1",NA,NA,NA,NA,NA,NA,NA,0.09300000191,412,"bathydemersal"
"Dibrachichthys melanurus","Pietsch, Johnson &amp; Arnold, 2009","1",NA,NA,NA,NA,NA,NA,NA,0.05699999809,76,"pelagic-neritic"
"Tetrabrachium ocellatum","G<fc>nther, 1880","1",NA,NA,NA,NA,NA,NA,NA,0.07,NA,"demersal"
"Bythaelurus tenuicephalus","Kaschner, Weigmann &amp; Thiel, 2015","1",NA,NA,NA,NA,NA,NA,NA,3,506.5,"pelagic-oceanic"
"Leptochilichthys pinguis","(Vaillant, 1886)","1",NA,NA,NA,NA,NA,NA,NA,0.2429999924,1100,"bathypelagic"
"Pseudoscopelus australis","Prokofiev &amp; Kukuev, 2006","1",NA,NA,NA,NA,NA,NA,NA,0.17,750,"bathydemersal"
"Serranus pulcher","Wirtz &amp; Iwamoto, 2016","1",NA,NA,NA,NA,NA,NA,NA,0.07800000191,15.5,"pelagic-neritic"
"Saccopharynx lavenbergi","Nielsen &amp; Bertelsen, 1985","1",NA,NA,NA,NA,NA,NA,NA,0.78,2500,"bathypelagic"
"Saccopharynx schmidti","Bertin, 1934","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bathypelagic"
"Poromitra agafonovae","Kotlyar, 2009","1",NA,NA,NA,NA,NA,NA,NA,0.1319999981,2213.5,"bathypelagic"
"Poromitra cristiceps","(Gilbert, 1890)","1",NA,NA,NA,8,8.5,"planktivorous",NA,0.121,NA,"bathypelagic"
"Poromitra curilensis","Kotlyar, 2008","1",NA,NA,NA,8,8.5,"planktivorous",NA,0.112,NA,"bathypelagic"
"Poromitra curilensis","Kotlyar, 2008","1",NA,NA,NA,8,8.5,"planktivorous",NA,0.112,NA,"bathypelagic"
"Poromitra curilensis","Kotlyar, 2008","1",NA,NA,NA,8,8.5,"planktivorous",NA,0.112,NA,"bathypelagic"
"Poromitra curilensis","Kotlyar, 2008","1",NA,NA,NA,8,8.5,"planktivorous",NA,0.112,NA,"bathypelagic"
"Poromitra curilensis","Kotlyar, 2008","1",NA,NA,NA,8,8.5,"planktivorous",NA,0.112,NA,"bathypelagic"
"Poromitra curilensis","Kotlyar, 2008","1",NA,NA,NA,8,8.5,"planktivorous",NA,0.112,NA,"bathypelagic"
"Poromitra frontosa","(Garman, 1899)","1",NA,NA,NA,NA,NA,NA,NA,0.1339999962,NA,"bathypelagic"
"Poromitra gibbsi","Parin &amp; Borodulina, 1989","1",NA,NA,NA,NA,NA,NA,NA,NA,615,"bathypelagic"
"Poromitra indooceanica","Kotlyar, 2008","1",NA,NA,NA,NA,NA,NA,NA,0.1310000038,812,"bathypelagic"
"Poromitra jucunda","Kotlyar, 2010","1",NA,NA,NA,NA,NA,NA,NA,0.04949999809,1000,"benthopelagic"
"Poromitra macrophthalma","(Gilchrist, 1903)","1",NA,NA,NA,NA,NA,NA,NA,0.045,1562,"bathypelagic"
"Poromitra nigrofulva","(Garman, 1899)","1",NA,NA,NA,NA,NA,NA,NA,0.09899999619,1000,"bathypelagic"
"Poromitra oscitans","Ebeling, 1975","1",NA,NA,NA,NA,NA,NA,NA,0.08159999847,2982.5,"bathypelagic"
"Poromitra unicornis","(Gilbert, 1905)","1",NA,NA,NA,NA,NA,NA,NA,0.1139999962,800,"bathypelagic"
"Scopeloberyx malayanus","(Weber, 1913)","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bathypelagic"
"Scopeloberyx maxillaris","(Garman, 1899)","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bathypelagic"
"Scopeloberyx microlepis","(Norman, 1937)","1",NA,NA,NA,NA,NA,NA,NA,0.04099999905,858.5,"bathypelagic"
"Scopeloberyx pequenoi","Kotlyar, 2004","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bathypelagic"
"Scopeloberyx rossicus","Kotlyar, 2004","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bathypelagic"
"Scopelogadus bispinosus","(Gilbert, 1915)","1",NA,NA,NA,NA,NA,NA,NA,0.11,2100,"bathypelagic"
"Scopelogadus unispinis","Ebeling &amp; Weed, 1963","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bathypelagic"
"Sigmops ebelingi","(Grey, 1960)","1",NA,NA,NA,NA,NA,NA,NA,0.09699999809,1052.5,"bathypelagic"
"Sigmops gracilis","(G<fc>nther, 1878)","1",NA,NA,NA,1,1.3,"benthivorous",NA,0.1332,NA,"bathypelagic"
"Sigmops gracilis","(G<fc>nther, 1878)","1",NA,NA,NA,1,1.3,"benthivorous",NA,0.1332,NA,"bathypelagic"
"Sigmops gracilis","(G<fc>nther, 1878)","1",NA,NA,NA,1,1.3,"benthivorous",NA,0.1332,NA,"bathypelagic"
"Sigmops gracilis","(G<fc>nther, 1878)","1",NA,NA,NA,1,1.3,"benthivorous",NA,0.1332,NA,"bathypelagic"
"Sigmops longipinnis","(Mukhacheva, 1972)","1",NA,NA,NA,NA,NA,NA,NA,NA,36,"bathypelagic"
"Polymetme elongata","(Matsubara, 1938)","1",NA,NA,NA,NA,NA,NA,NA,0.1839999962,NA,"benthopelagic"
"Polymetme illustris","McCulloch, 1926","1",7.3,24,NA,0.5,1.3,NA,NA,0.148,NA,NA
"Polymetme surugaensis","(Matsubara, 1943)","1",NA,NA,NA,NA,NA,NA,NA,0.12,NA,"benthopelagic"
"Vinciguerria lucetia","(Garman, 1899)","1",NA,NA,NA,NA,NA,NA,NA,0.08,300,"bathypelagic"
"Vinciguerria mabahiss","Johnson &amp; Feltes, 1984","1",NA,NA,NA,NA,NA,NA,NA,NA,250,"bathypelagic"
"Yarrella argenteola","(Garman, 1899)","1",NA,NA,NA,NA,NA,NA,NA,NA,453.5,"bathypelagic"
"Polyipnus aquavitus","Baird, 1971","1",NA,NA,NA,NA,NA,NA,NA,0.03529999971,682,"benthopelagic"
"Polyipnus fraseri","Fowler, 1934","1",NA,NA,NA,NA,NA,NA,NA,0.04039999962,NA,"benthopelagic"
"Polyipnus indicus","Schultz, 1961","1",NA,NA,NA,NA,NA,NA,NA,0.06,275,"benthopelagic"
"Polyipnus kiwiensis","Baird, 1971","1",NA,NA,NA,NA,NA,NA,NA,0.08199999809,NA,"benthopelagic"
"Polyipnus limatulus","Harold &amp; Wessel, 1998","1",NA,NA,NA,NA,NA,NA,NA,NA,157.5,"pelagic-oceanic"
"Polyipnus matsubarai","Schultz, 1961","1",NA,NA,NA,NA,NA,NA,NA,0.09670000076,260,"benthopelagic"
"Polyipnus meteori","Kotthaus, 1967","1",NA,NA,NA,NA,NA,NA,NA,0.05460000038,500,"bathypelagic"
"Polyipnus nuttingi","Gilbert, 1905","1",NA,NA,NA,NA,NA,NA,NA,0.08300000191,521,"benthopelagic"
"Polyipnus omphus","Baird, 1971","1",NA,NA,NA,NA,NA,NA,NA,0.05590000153,NA,"benthopelagic"
"Polyipnus parini","Borodulina, 1979","1",NA,NA,NA,NA,NA,NA,NA,0.06099999905,NA,"benthopelagic"
"Polyipnus ruggeri","Baird, 1971","1",NA,NA,NA,NA,NA,NA,NA,0.06550000191,NA,"benthopelagic"
"Polyipnus soelae","Harold, 1994","1",NA,NA,NA,NA,NA,NA,NA,0.0603000021,410,"bathypelagic"
"Polyipnus spinifer","Borodulina, 1979","1",NA,NA,NA,NA,NA,NA,NA,0.06,267,"benthopelagic"
"Polyipnus stereope","Jordan &amp; Starks, 1904","1",NA,NA,NA,NA,NA,NA,NA,0.05300000191,215,"benthopelagic"
"Polyipnus tridentifer","McCulloch, 1914","1",NA,NA,NA,NA,NA,NA,NA,0.07159999847,732.5,"bathydemersal"
"Polyipnus triphanos","Schultz, 1938","1",NA,NA,NA,NA,NA,NA,NA,0.04730000019,644,"benthopelagic"
"Polyipnus unispinus","Schultz, 1938","1",NA,NA,NA,NA,NA,NA,NA,0.03519999981,275,"benthopelagic"
"Valenciennellus carlsbergi","Bruun, 1931","1",NA,NA,NA,NA,NA,NA,NA,0.02099999905,100,"bathypelagic"
"Opostomias mitsuii","Imai, 1941","1",NA,NA,NA,NA,NA,NA,NA,0.36,713,"bathypelagic"
"Photonectes albipennis","(D<f6>derlein, 1882)","1",NA,NA,NA,NA,NA,NA,NA,0.3,460,"bathypelagic"
"Photonectes coffea","Klepadlo, 2011","1",NA,NA,NA,NA,NA,NA,NA,0.1489999962,NA,"pelagic-oceanic"
"Photonectes waitti","Flynn &amp; Klepadlo, 2012","1",NA,NA,NA,NA,NA,NA,NA,0.07400000095,600,"pelagic-oceanic"
"Stomias atriventer","Garman, 1899","1",NA,NA,NA,NA,6.8,"generalist",NA,0.25,NA,"bathypelagic"
"Stomias atriventer","Garman, 1899","1",NA,NA,NA,NA,6.8,"generalist",NA,0.25,NA,"bathypelagic"
"Stomias atriventer","Garman, 1899","1",NA,NA,NA,NA,6.8,"generalist",NA,0.25,NA,"bathypelagic"
"Stomias colubrinus","Garman, 1899","1",NA,NA,NA,NA,NA,NA,NA,0.4,668,"bathydemersal"
"Stomias nebulosus","Alcock, 1889","1",NA,NA,NA,NA,NA,NA,NA,0.18,685,"bathypelagic"
"Tactostoma macropus","Bolin, 1939","1",NA,NA,NA,NA,6.8,"piscivorous",NA,0.382,NA,"bathypelagic"
"Tactostoma macropus","Bolin, 1939","1",NA,NA,NA,NA,6.8,"piscivorous",NA,0.382,NA,"bathypelagic"
"Tactostoma macropus","Bolin, 1939","1",NA,NA,NA,NA,6.8,"piscivorous",NA,0.382,NA,"bathypelagic"
"Tactostoma macropus","Bolin, 1939","1",NA,NA,NA,NA,6.8,"piscivorous",NA,0.382,NA,"bathypelagic"
"Tactostoma macropus","Bolin, 1939","1",NA,NA,NA,NA,6.8,"piscivorous",NA,0.382,NA,"bathypelagic"
"Synchiropus splendidus","(Herre, 1927)","1",NA,NA,NA,NA,NA,NA,NA,0.07,9.5,"reef-associated"
"Embiotoca lateralis","Agassiz, 1854","1",20.278,14,3.4,3,10,"benthivorous",NA,0.38,NA,"demersal"
"Embiotoca jacksoni","Agassiz, 1853","1",5.572,6,3.2,2.1,8,NA,700,0.39,NA,NA
"Photostomias liemi","Kenaley, 2009","1",NA,NA,NA,NA,NA,NA,NA,0.1426000023,2000,"bathypelagic"
"Photostomias lucingens","Kenaley, 2009","1",NA,NA,NA,NA,NA,NA,NA,0.1089999962,NA,"bathypelagic"
"Photostomias tantillux","Kenaley, 2009","1",NA,NA,NA,NA,NA,NA,NA,0.1007299995,2119,"bathypelagic"
"Serranus inexpectatus","Wirtz &amp; Iwamoto, 2018","1",NA,NA,NA,NA,NA,NA,NA,0.09199999809,30.5,"reef-associated"
"Plectorhinchus ceylonensis","(Smith, 1956)","1",NA,NA,NA,NA,NA,NA,NA,0.44,12.5,"benthopelagic"
"Barathronus maculatus","Shcherbachev, 1976","1",NA,NA,NA,NA,NA,NA,NA,0.18,955.5,"bathydemersal"
"Alionematichthys crassiceps","M<f8>ller &amp; Schwarzhans, 2008","1",NA,NA,NA,NA,NA,NA,NA,0.06300000191,2.5,"reef-associated"
"Didymothallus nudigena","Schwarzhans &amp; M<f8>ller, 2011","1",NA,NA,NA,NA,NA,NA,NA,0.05099999905,NA,"benthopelagic"
"Ungusurculus sundaensis","Schwarzhans &amp; M<f8>ller, 2007","1",NA,NA,NA,NA,NA,NA,NA,0.05400000095,4,"reef-associated"
"Zephyrichthys barryi","Schwarzhans &amp; M<f8>ller, 2007","1",NA,NA,NA,NA,NA,NA,NA,0.05900000095,7.5,"demersal"
"Neobythites australiensis","Nielsen, 2002","1",NA,NA,NA,NA,NA,NA,NA,0.1670000076,196,"bathydemersal"
"Neobythites fasciatus","Smith &amp; Radcliffe, 1913","1",NA,NA,NA,NA,NA,NA,NA,0.1610000038,702.5,"bathydemersal"
"Neobythites kenyaensis","Nielsen, 1995","1",NA,NA,NA,NA,NA,NA,NA,NA,270,"bathydemersal"
"Neobythites longipes","Smith &amp; Radcliffe, 1913","1",NA,NA,NA,NA,NA,NA,NA,0.1,390,"bathydemersal"
"Neobythites longiventralis","Nielsen, 1997","1",NA,NA,NA,NA,NA,NA,NA,0.1369999981,267.5,"bathydemersal"
"Neobythites macrops","G<fc>nther, 1887","1",NA,NA,NA,NA,NA,NA,NA,0.2160000038,414.5,"bathydemersal"
"Neobythites malayanus","Weber, 1913","1",NA,NA,NA,NA,NA,NA,NA,0.175,337,"benthopelagic"
"Neobythites marianaensis","Nielsen, 2002","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"benthopelagic"
"Neobythites neocaledoniensis","Nielsen, 1997","1",NA,NA,NA,NA,NA,NA,NA,0.245,570,"bathydemersal"
"Neobythites nigriventris","Nielsen, 2002","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bathydemersal"
"Neobythites pallidus","Nielsen, 1997","1",NA,NA,NA,NA,NA,NA,NA,0.1430000019,560,"bathydemersal"
"Neobythites purus","Smith &amp; Radcliffe, 1913","1",NA,NA,NA,NA,NA,NA,NA,NA,437.5,"benthopelagic"
"Neobythites sivicola","(Jordan &amp; Snyder, 1901)","1",NA,NA,NA,NA,NA,NA,NA,0.25,162,"benthopelagic"
"Neobythites soelae","Nielsen, 2002","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"benthopelagic"
"Neobythites somaliaensis","Nielsen, 1995","1",NA,NA,NA,NA,NA,NA,NA,NA,395,"bathydemersal"
"Neobythites stefanovi","Nielsen &amp; Uiblein, 1993","1",NA,NA,NA,NA,NA,NA,NA,0.1629999924,570,"bathydemersal"
"Neobythites stigmosus","Machida, 1984","1",13.9,20,4,1.4,4.8,NA,NA,0.18,NA,NA
"Neobythites trifilis","Kotthaus, 1979","1",NA,NA,NA,NA,NA,NA,NA,NA,297.5,"benthopelagic"
"Neobythites unimaculatus","Smith &amp; Radcliffe, 1913","1",NA,NA,NA,NA,NA,NA,NA,0.2320000076,338.5,"benthopelagic"
"Neobythites vityazi","Nielsen, 1995","1",NA,NA,NA,NA,NA,NA,NA,NA,520,"bathydemersal"
"Neobythites zonatus","Nielsen, 1997","1",NA,NA,NA,NA,NA,NA,NA,0.1739999962,612.5,"bathydemersal"
"Ophidion exul","Robins, 1991","1",NA,NA,NA,NA,NA,NA,NA,0.09600000381,10,"demersal"
"Ophidion genyopus","(Ogilby, 1897)","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"demersal"
"Ophidion metoecus","Robins, 1991","1",NA,NA,NA,NA,NA,NA,NA,0.1130000019,15.5,"demersal"
"Ophidion muraenolepis","G<fc>nther, 1880","1",NA,NA,NA,NA,NA,NA,NA,0.155,225,"demersal"
"Ophidion smithi","(Fowler, 1934)","1",NA,NA,NA,NA,NA,NA,NA,0.14,NA,"demersal"
"Porogadus guentheri","Jordan &amp; Fowler, 1902","1",NA,NA,NA,NA,NA,NA,NA,0.21,1167.5,"bathydemersal"
"Porogadus longiceps","Garman, 1899","1",NA,NA,NA,NA,NA,NA,NA,NA,1763,"bathydemersal"
"Porogadus melampeplus","(Alcock, 1896)","1",NA,NA,NA,NA,NA,NA,NA,0.21,1750,"bathydemersal"
"Sirembo imberbis","(Temminck &amp; Schlegel, 1846)","1",NA,NA,NA,NA,NA,NA,NA,0.2,150,"demersal"
"Sirembo jerdoni","(Day, 1888)","1",NA,NA,NA,NA,NA,NA,NA,0.125,NA,"demersal"
"Sirembo metachroma","Cohen &amp; Robins, 1986","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"benthopelagic"
"Spottobrotula mossambica","Nielsen, Schwarzhans &amp; Uiblein, 2014","1",NA,NA,NA,NA,NA,NA,NA,0.2870000076,52,"benthopelagic"
"Tauredophidium hextii","Alcock, 1890","1",NA,NA,NA,NA,NA,NA,NA,0.105,2080,"bathydemersal"
"Typhlonus nasus","G<fc>nther, 1878","1",NA,NA,NA,NA,NA,NA,NA,0.285,4517.5,"bathydemersal"
"Parascolopsis capitinis","Russell, 1996","1",NA,NA,NA,NA,NA,NA,NA,0.1820000076,NA,"demersal"
"Enneanectes flavus","Victor, 2019","1",NA,NA,NA,NA,NA,NA,NA,0.02789999962,1.5,"reef-associated"
"Scopelarchus stephensi","Johnson 1974","1",NA,NA,NA,NA,NA,NA,NA,0.06199999809,500,"bathypelagic"
"Chiasmodon asper","Melo, 2009","1",NA,NA,NA,NA,NA,NA,NA,0.1786000061,2935.5,"pelagic-oceanic"
"Pseudogoniistius nigripes","(Richardson, 1850)","1",NA,NA,NA,NA,NA,NA,NA,0.41,NA,"reef-associated"
"Pseudoscopelus bothrorrhinos","Melo, Walker &amp; Klepadlo, 2007","1",NA,NA,NA,NA,NA,NA,NA,0.05510000229,600,"bathypelagic"
"Pseudoscopelus lavenbergi","Melo, Walker &amp; Klepadlo, 2007","1",NA,NA,NA,NA,NA,NA,NA,0.1810000038,1050,"bathypelagic"
"Pseudoscopelus parini","Prokofiev &amp; Kukuev, 2006","1",NA,NA,NA,NA,NA,NA,NA,0.1679999924,NA,"bathypelagic"
"Pseudoscopelus paxtoni","Melo, 2010","1",NA,NA,NA,NA,NA,NA,NA,0.2279000092,1058,"bathypelagic"
"Enoplosus armatus","(Shaw, 1790)","1",NA,NA,NA,NA,NA,NA,NA,0.5,NA,"reef-associated"
"Ostracoberyx dorygenys","Fowler, 1934","1",NA,NA,NA,NA,NA,NA,NA,0.23,483.5,"bathydemersal"
"Ostracoberyx paxtoni","Qu<e9>ro &amp; Ozouf-Costaz, 1991","1",NA,NA,NA,NA,NA,NA,NA,0.1569999981,436,"bathydemersal"
"Anthias asperilinguis","G<fc>nther, 1859","1",NA,NA,NA,NA,NA,NA,NA,0.1560000038,274.5,"reef-associated"
"Enneanectes quadra","Victor, 2017","1",NA,NA,NA,NA,NA,NA,NA,0.02349999905,5,"reef-associated"
"Achirus zebrinus","Clark, 1936","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"demersal"
"Catathyridium garmani","(Jordan, 1889)","1",NA,NA,NA,NA,NA,NA,NA,0.17,NA,"demersal"
"Mancopsetta maculata","(G<fc>nther, 1880)","1",NA,NA,NA,NA,NA,NA,NA,0.5,607.5,"demersal"
"Neoachiropsetta milfordi","(Penrith, 1965)","1",NA,NA,NA,NA,NA,NA,NA,0.57,588.5,"bathydemersal"
"Anodontostoma selangkat","(Bleeker, 1852)","1",NA,NA,NA,NA,NA,NA,NA,0.18,25,"pelagic-neritic"
"Anodontostoma thailandiae","Wongratana, 1983","1",13.536,20,NA,1.4,4.5,NA,NA,0.18,NA,NA
"Thryssa hamiltonii","(Gray, 1835)","1",60.685,121,3.4,0.7,2.1,NA,NA,0.27,NA,NA
"Hilsa kelee","(Cuvier, 1829)","1",NA,NA,NA,NA,NA,NA,NA,0.35,NA,"pelagic-neritic"
"Sardinops sagax","(Jenyns 1842)","1",101.9734,263,2.4,2.8,25,"planktivorous",486,0.24,NA,"pelagic"
"Sardinops sagax","(Jenyns 1842)","1",101.9734,263,2.4,2.8,25,"planktivorous",486,0.24,NA,"pelagic"
"Sardinops sagax","(Jenyns 1842)","1",101.9734,263,2.4,2.8,25,"planktivorous",486,0.24,NA,"pelagic"
"Sardinops sagax","(Jenyns 1842)","1",101.9734,263,2.4,2.8,25,"planktivorous",486,0.24,NA,"pelagic"
"Sprattus sprattus","(Linnaeus, 1758)","1",110.4133,183,3,2,6,"planktivorous",NA,0.15,27.5,"pelagic"
"Sprattus sprattus","(Linnaeus, 1758)","1",110.4133,183,3,2,6,"planktivorous",NA,0.15,27.5,"pelagic"
"Sprattus sprattus","(Linnaeus, 1758)","1",110.4133,183,3,2,6,"planktivorous",NA,0.136,27.5,"pelagic"
"Sprattus sprattus","(Linnaeus, 1758)","1",110.4133,183,3,2,6,"planktivorous",NA,0.136,27.5,"pelagic"
"Sprattus sprattus","(Linnaeus, 1758)","1",110.4133,183,3,2,6,"planktivorous",NA,0.15,27.5,"pelagic"
"Sardinella gibbosa","(Bleeker, 1849)","1",NA,NA,NA,NA,NA,NA,NA,0.2960000038,40,"pelagic-neritic"
"Sardinella sindensis","(Day, 1878)","1",NA,NA,NA,NA,NA,NA,NA,0.17,25,"pelagic-neritic"
"Sardinella fimbriata","(Valenciennes, 1847)","1",NA,NA,NA,NA,NA,NA,NA,0.13,25,"pelagic-neritic"
"Stolephorus commersonnii","Lacep<e8>de, 1803","1",58.1,142,3,1,2.9,NA,NA,0.1,NA,NA
"Coilia dussumieri","Valenciennes, in Cuvier &amp; Valenciennes, 1848","1",NA,NA,NA,NA,NA,NA,NA,0.2,25,"pelagic-neritic"
"Spratelloides lewisi","Wongratana, 1983","1",NA,NA,NA,2.7,0.3,"planktivorous",NA,0.07,NA,"pelagic"
"Thryssa whiteheadi","Wongratana, 1983","1",NA,NA,NA,1.1,3.6,NA,NA,0.158,NA,NA
"Coilia reynaldi","Valenciennes, 1848","1",NA,NA,NA,NA,NA,NA,NA,0.15,25,"pelagic-neritic"
"Engraulis australis","(Shaw, 1790)","1",31.7924,64,3,2.2,7.1,NA,NA,0.15,NA,NA
"Engraulis capensis","Gilchrist, 1913","1",NA,NA,NA,NA,NA,NA,NA,0.17,NA,"pelagic-neritic"
